"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 23:59:06 COT 2024","Mon Jun 03 23:59:18 COT 2024","12061","","Google Cloud Platform Pricing Calculator: View Compute Engine Product Pricing","","","","Fill form",""
"passed","Mon Jun 03 22:32:47 COT 2024","Mon Jun 03 22:32:52 COT 2024","5089","","Google Cloud Platform Pricing Calculator Test Suite","","","","Open",""
"passed","Mon Jun 03 23:51:13 COT 2024","Mon Jun 03 23:51:17 COT 2024","3951","","Google Cloud Platform Pricing Calculator: Verify that the search engine performs the query by varying the original text","","","","Search with partial match: Google Platform Pricing",""
"passed","Wed Jun 05 18:30:01 COT 2024","Wed Jun 05 18:30:05 COT 2024","3627","","Google Cloud Platform Pricing Calculator: Verify that the search engine performs the query by varying the original text","","","","Search with partial match: Platform-Pricing-",""
"passed","Tue Jun 04 22:19:31 COT 2024","Tue Jun 04 22:19:32 COT 2024","623","","Google Cloud Platform Pricing Calculator: View Compute Engine Product Pricing","","","","Calculate page",""
"passed","Mon Jun 03 23:59:06 COT 2024","Mon Jun 03 23:59:06 COT 2024","619","","Google Cloud Platform Pricing Calculator: View Compute Engine Product Pricing","","","","Calculate page",""
"passed","Wed Jun 05 18:26:59 COT 2024","Wed Jun 05 18:27:03 COT 2024","3671","","Google Cloud Platform Pricing Calculator: Verify that the search engine performs the query by varying the original text","","","","Search with exact match: Google Platform Pricing Calculator",""
"passed","Wed Jun 05 18:27:03 COT 2024","Wed Jun 05 18:27:06 COT 2024","2953","","Google Cloud Platform Pricing Calculator: Verify that the search engine performs the query by varying the original text","","","","Search with exact match: Google Cloud Pricing Calculator",""
"passed","Mon Jun 03 23:59:18 COT 2024","Mon Jun 03 23:59:21 COT 2024","2725","","Google Cloud Platform Pricing Calculator: View Compute Engine Product Pricing","","","","Review Total estimated cost and go to Summary",""
"passed","Wed Jun 05 18:29:47 COT 2024","Wed Jun 05 18:29:51 COT 2024","3866","","Google Cloud Platform Pricing Calculator: Verify that the search engine performs the query by varying the original text","","","","Search with partial match: Platform.Pricing",""
